price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,year,month,day,distance
221900.0,3,1.0,1180.0,5650,1.0,0,0,3,7,0,1955,2014,98178,47.5112,-122.257,2014,10,13,12.25930881030136
538000.0,3,2.25,2570.0,7242,2.0,0,0,3,7,400,1951,23,98125,47.721,-122.319,2014,12,9,12.621780404933304
180000.0,2,1.0,770.0,10000,1.0,0,0,3,6,0,1933,2015,98028,47.7379,-122.233,2015,2,25,16.34354364108995
604000.0,4,3.0,1960.0,5000,1.0,0,0,5,7,910,1965,2014,98136,47.5208,-122.393,2014,12,9,10.624170948639296
510000.0,3,2.0,1680.0,8080,1.0,0,0,3,8,0,1987,2015,98074,47.6168,-122.045,2015,2,18,21.773194299891077
1225000.0,4,4.5,4978.8,101930,1.0,0,0,3,11,1530,2001,2014,98053,47.6561,-122.005,2014,5,12,25.311619217113336
257500.0,3,2.25,1715.0,6819,2.0,0,0,3,7,0,1995,2014,98003,47.3097,-122.327,2014,6,27,33.17657430761021
291850.0,3,1.5,1060.0,9711,1.0,0,0,3,7,0,1963,2015,98198,47.4095,-122.315,2015,1,15,22.125549314110913
229500.0,3,1.0,1780.0,7470,1.0,0,0,3,7,730,1960,2015,98146,47.5123,-122.337,2015,4,15,10.643688725427548
323000.0,3,2.5,1890.0,6560,2.0,0,0,3,7,0,2003,2015,98038,47.3684,-122.031,2015,3,12,35.103111086634705
662500.0,3,2.5,3560.0,9796,1.0,0,0,3,8,1660,1965,2015,98007,47.6007,-122.145,2015,4,3,14.280512134963034
468000.0,2,1.0,1160.0,6000,1.0,0,0,4,7,300,1942,2014,98115,47.69,-122.292,2014,5,27,9.67302133353993
310000.0,3,1.0,1430.0,19901,1.5,0,0,4,7,0,1927,2014,98028,47.7558,-122.229,2014,5,28,18.25422308640676
400000.0,3,1.75,1370.0,9680,1.0,0,0,4,7,0,1977,2014,98074,47.6127,-122.045,2014,10,7,21.758355620680106
530000.0,5,2.0,1810.0,4850,1.5,0,0,3,7,0,1900,2015,98107,47.67,-122.394,2015,3,12,8.181595056691473
650000.0,4,3.0,2950.0,5000,2.0,0,3,3,9,970,1979,2015,98126,47.5714,-122.375,2015,1,24,5.049556858209275
395000.0,3,2.0,1890.0,14040,2.0,0,0,3,7,0,1994,2014,98019,47.7277,-121.962,2014,7,31,30.950738572576082
485000.0,4,1.0,1600.0,4300,1.5,0,0,4,7,0,1916,2014,98103,47.6648,-122.343,2014,5,29,6.341642768681496
189000.0,2,1.0,1200.0,9850,1.0,0,0,4,7,0,1921,2014,98002,47.3089,-122.21,2014,12,5,34.565438310310675
230000.0,3,1.0,1250.0,9774,1.0,0,0,4,7,0,1969,2015,98003,47.3343,-122.306,2015,4,24,30.514350407985596
385000.0,4,1.75,1620.0,4980,1.0,0,0,4,7,760,1947,2014,98133,47.7025,-122.341,2014,5,14,10.515554701133876
1964400.0,3,2.75,3050.0,44867,1.0,0,4,3,9,720,1968,2014,98040,47.5316,-122.233,2014,8,26,11.443061776959551
285000.0,5,2.5,2270.0,6300,2.0,0,0,3,8,0,1995,2014,98092,47.3266,-122.169,2014,7,3,33.69249194214717
252700.0,2,1.5,1070.0,9643,1.0,0,0,3,7,0,1985,2014,98030,47.3533,-122.166,2014,5,16,31.045074354092925
329000.0,3,2.25,2450.0,6500,2.0,0,0,4,8,0,1985,2014,98030,47.3739,-122.172,2014,11,20,28.77447605067856
233000.0,3,2.0,1710.0,4697,1.5,0,0,5,6,0,1941,2014,98002,47.3048,-122.218,2014,11,3,34.847552015803494
937000.0,3,1.75,2450.0,2691,2.0,0,0,3,8,700,1915,2014,98119,47.6386,-122.36,2014,6,26,3.877034192630864
667000.0,3,1.0,1400.0,1581,1.5,0,0,5,8,0,1909,2014,98112,47.6221,-122.314,2014,12,1,2.2295724098901166
438000.0,3,1.75,1520.0,6380,1.0,0,0,3,7,730,1948,2014,98115,47.695,-122.304,2014,6,24,9.95026216913649
719000.0,4,2.5,2570.0,7173,2.0,0,0,3,8,0,2005,2015,98052,47.7073,-122.11,2015,3,2,20.156547576173494
580500.0,3,2.5,2320.0,3980,2.0,0,0,3,8,0,2003,2014,98027,47.5391,-122.07,2014,11,10,21.31688016241885
280000.0,2,1.5,1190.0,1265,3.0,0,0,3,7,0,2005,2014,98133,47.7274,-122.357,2014,12,1,13.375521702012605
687500.0,4,1.75,2330.0,5000,1.5,0,0,4,7,820,1929,2014,98117,47.6823,-122.368,2014,6,24,8.618764392589275
535000.0,3,1.0,1090.0,3000,1.5,0,0,4,8,0,1929,2014,98117,47.6889,-122.375,2014,11,10,9.476262324200816
322500.0,4,2.75,2060.0,6659,1.0,0,0,3,7,780,1981,2014,98058,47.4276,-122.157,2014,12,3,24.113508496484307
696000.0,3,2.5,2300.0,3060,1.5,0,0,3,8,790,1930,12,98115,47.6827,-122.31,2014,6,13,8.516134138497426
550000.0,4,1.0,1660.0,34848,1.0,0,0,1,5,730,1933,2014,98052,47.6621,-122.132,2014,5,28,16.368006000316083
640000.0,4,2.0,2360.0,6000,2.0,0,0,4,8,0,1904,2014,98107,47.6702,-122.362,2014,12,30,7.201200311491775
240000.0,4,1.0,1220.0,8075,1.0,0,0,2,7,330,1969,2015,98001,47.3341,-122.282,2015,2,13,30.718778324257975
605000.0,4,2.5,2620.0,7553,2.0,0,0,3,8,0,1996,2014,98056,47.5301,-122.18,2014,6,20,14.51113054920499
625000.0,4,2.5,2570.0,5520,2.0,0,0,3,9,0,2000,2014,98074,47.6145,-122.027,2014,7,15,23.112326566740315
775000.0,4,2.25,4220.0,24186,1.0,0,0,3,8,1620,1984,2014,98166,47.445,-122.347,2014,8,11,18.147980059254106
861990.0,5,2.75,3595.0,5639,2.0,0,0,3,9,0,2014,2014,98053,47.6848,-122.016,2014,7,7,25.3883881311185
685000.0,3,1.0,1570.0,2280,2.0,0,0,3,7,0,1922,2014,98119,47.6413,-122.364,2014,10,28,4.285934356568605
309000.0,3,1.0,1280.0,9656,1.0,0,0,4,6,360,1959,2014,98058,47.4485,-122.175,2014,7,29,21.429361531908558
488000.0,3,2.5,3160.0,13603,2.0,0,0,3,8,0,2003,2014,98019,47.7443,-121.977,2014,7,18,30.801715158081297
210490.0,3,1.0,990.0,8528,1.0,0,0,3,6,0,1966,2015,98023,47.3066,-122.371,2015,3,25,33.62369685561524
785000.0,4,2.5,2290.0,13416,2.0,0,0,4,9,0,1981,2014,98007,47.6194,-122.151,2014,7,16,13.862981222617796
450000.0,3,1.75,1250.0,5963,1.0,0,0,4,7,0,1953,2015,98115,47.6796,-122.301,2015,4,28,8.361533078260484
1350000.0,3,2.5,2753.0,65005,1.0,1,2,5,9,588,1953,2015,98070,47.4041,-122.451,2015,3,11,24.286105609221845
228000.0,3,1.0,1190.0,9199,1.0,0,0,3,7,0,1955,2014,98148,47.4258,-122.322,2014,9,16,20.2852755517305
345000.0,5,2.5,3150.0,9134,1.0,0,0,4,8,1510,1966,2015,98056,47.4934,-122.189,2015,2,17,16.81532441934532
600000.0,3,1.75,1410.0,4080,1.0,0,0,4,7,410,1950,2014,98117,47.6808,-122.384,2014,12,31,8.881943589253124
585000.0,2,1.75,1980.0,8550,1.0,0,0,3,7,990,1981,2015,98117,47.6989,-122.369,2015,2,5,10.419057448573286
920000.0,5,2.25,2730.0,6000,1.5,0,0,3,8,600,1927,2015,98105,47.6571,-122.281,2015,3,3,6.80195276680817
885000.0,4,2.5,2830.0,5000,2.0,0,0,3,9,0,1995,2014,98105,47.6597,-122.29,2014,5,12,6.669773765710607
292500.0,4,2.5,2250.0,4495,2.0,0,0,3,7,0,2008,2014,98042,47.3663,-122.114,2014,8,19,31.60005411705241
301000.0,3,2.5,2420.0,4750,2.0,0,0,3,8,0,2003,2015,98042,47.3663,-122.122,2015,4,7,31.28810013814414
951000.0,5,3.25,3250.0,14342,2.0,0,4,4,8,0,1968,2014,98008,47.588,-122.116,2014,8,27,16.58353150793297
430000.0,4,3.0,1850.0,9976,2.0,0,0,3,8,0,1991,2015,98059,47.5059,-122.149,2015,2,23,18.002409410261173
650000.0,3,2.25,2150.0,21235,1.0,0,3,4,8,560,1959,2014,98166,47.4336,-122.339,2014,12,10,19.395976492062307
289000.0,3,1.75,1260.0,8400,1.0,0,0,3,7,0,1954,2014,98148,47.4366,-122.335,2014,8,28,19.06026008607799
505000.0,3,1.75,2519.0,8690,2.0,0,0,5,8,0,1973,2014,98166,47.4428,-122.344,2014,10,21,18.382815663704456
549000.0,3,1.75,1540.0,1044,3.0,0,0,3,8,0,2014,2014,98115,47.6765,-122.32,2014,12,7,7.699712463416594
425000.0,3,2.25,1660.0,6000,1.0,0,0,3,7,550,1979,2014,98122,47.6113,-122.297,2014,6,3,2.884445821818766
317625.0,3,2.75,2770.0,3809,1.5,0,0,5,7,1000,1925,2014,98144,47.5747,-122.304,2014,11,20,4.3799699475184575
975000.0,4,2.5,2720.0,11049,2.0,0,0,3,10,0,1989,2014,98004,47.5815,-122.192,2014,9,9,11.133028143232007
287000.0,4,2.5,2240.0,4648,2.0,0,0,3,7,0,2005,2014,98001,47.3378,-122.257,2014,10,9,30.61531665616757
